season,date,home_team,away_team,venue,is_final,split,home_elo,away_elo,elo_diff,elo_win_prob,home_rest_days,away_rest_days,rest_diff,home_travel_km,away_travel_km,travel_diff_km,home_win_pct,home_avg_margin,home_last_margin,home_form_games,home_off_big_win,home_off_big_loss,home_win_streak,home_loss_streak,away_win_pct,away_avg_margin,away_last_margin,away_form_games,away_off_big_win,away_off_big_loss,away_win_streak,away_loss_streak,form_win_pct_diff,form_margin_diff,venue_games,venue_avg_total,venue_home_win_pct,h2h_home_open,h2h_away_open,h2h_home_close,h2h_away_close,mkt_home_prob_open,home_line_open,home_line_close,total_open,total_close,home_score,away_score,home_margin,total_score,home_win
2009,2009-06-19,Essendon Bombers,Melbourne Demons,Marvel Stadium,0,train,1500.0,1500.0,0.0,0.5925,21,21,0,1.4,1.4,0.0,0.5,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,,131,83,48,214,1
2009,2009-06-20,Sydney Swans,Collingwood Magpies,Accor Stadium,0,train,1500.0,1500.0,0.0,0.5925,21,21,0,13.7,704.7,-691.0,0.5,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,,66,89,-23,155,0
2009,2009-06-21,Fremantle Dockers,Geelong Cats,Domain Stadium,0,train,1500.0,1500.0,0.0,0.5925,21,21,0,2.4,2675.0,-2672.5,0.5,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,,75,94,-19,169,0
2009,2009-06-26,Essendon Bombers,Carlton Blues,MCG,0,train,1550.13,1500.0,50.13,0.6599,7,21,-14,1.9,1.9,0.0,1.0,48.0,48,1,1,0,1,0,0.5,0.0,0.0,0,0,0,0,0,0.5,48.0,0,,,,,,,,,,,,136,67,69,203,1
2009,2009-06-27,Collingwood Magpies,Fremantle Dockers,MCG,0,train,1537.25,1469.23,68.02,0.6826,7,6,1,1.9,2723.4,-2721.4,1.0,23.0,23,1,0,0,1,0,0.0,-19.0,-19,1,0,0,0,1,1.0,42.0,1,203.0,1.0,,,,,,,,,,169,85,84,254,1
2009,2009-06-27,Adelaide Crows,Sydney Swans,AAMI Stadium,0,train,1500.0,1462.75,37.25,0.643,21,7,14,10.1,1171.0,-1160.9,0.5,0.0,0.0,0,0,0,0,0,0.0,-23.0,-23,1,0,0,0,1,0.5,23.0,0,,,,,,,,,,,,85,69,16,154,1
2009,2009-06-27,West Coast Eagles,Hawthorn Hawks,Domain Stadium,0,train,1500.0,1500.0,0.0,0.5925,21,21,0,2.4,2723.7,-2721.3,0.5,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.0,0.0,1,169.0,,,,,,,,,,,107,87,20,194,1
2009,2009-06-27,Brisbane Lions,Melbourne Demons,Gabba,0,train,1500.0,1449.87,50.13,0.6599,21,8,13,2.2,1373.6,-1371.4,0.5,0.0,0.0,0,0,0,0,0,0.0,-48.0,-48,1,0,1,0,1,0.5,48.0,0,,,,,,,,,,,,111,56,55,167,1
2009,2009-06-28,Geelong Cats,Port Adelaide Power,GMHBA Stadium,0,train,1530.77,1500.0,30.77,0.6344,7,21,-14,0.8,626.7,-625.9,1.0,19.0,19,1,0,0,1,0,0.5,0.0,0.0,0,0,0,0,0,0.5,19.0,0,,,,,,,,,,,,122,88,34,210,1
2009,2009-06-28,North Melbourne Kangaroos,Western Bulldogs,MCG,0,train,1500.0,1500.0,0.0,0.5925,21,21,0,1.9,1.9,0.0,0.5,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.0,0.0,2,228.5,1.0,,,,,,,,,,86,108,-22,194,0
2009,2009-06-28,St Kilda Saints,Richmond Tigers,Marvel Stadium,0,train,1500.0,1500.0,0.0,0.5925,21,21,0,1.4,1.4,0.0,0.5,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.0,0.0,1,214.0,1.0,,,,,,,,,,92,36,56,128,1
2009,2009-07-03,Collingwood Magpies,Essendon Bombers,MCG,0,train,1576.29,1591.96,-15.67,0.5705,6,7,-1,1.9,1.9,0.0,1.0,53.5,84,2,1,0,2,0,1.0,58.5,69,2,1,0,2,0,0.0,-5.0,3,217.0,0.667,,,,,,,,,,102,67,35,169,1
2009,2009-07-04,Melbourne Demons,West Coast Eagles,MCG,0,train,1408.04,1522.28,-114.24,0.4296,7,7,0,1.9,2723.4,-2721.4,0.0,-51.5,-55,2,0,1,0,2,1.0,20.0,20,1,0,0,1,0,-1.0,-71.5,4,205.0,0.75,,,,,,,,,,112,92,20,204,1
2009,2009-07-04,Port Adelaide Power,Brisbane Lions,AAMI Stadium,0,train,1466.03,1541.84,-75.81,0.4844,6,7,-1,10.1,1606.7,-1596.6,0.0,-34.0,-34,1,0,0,0,1,1.0,55.0,55,1,1,0,1,0,-1.0,-89.0,1,154.0,1.0,,,,,,,,,,128,80,48,208,1
2009,2009-07-04,Western Bulldogs,Hawthorn Hawks,Marvel Stadium,0,train,1535.63,1477.72,57.91,0.6698,6,7,-1,1.4,1.4,0.0,1.0,22.0,22,1,0,0,1,0,0.0,-20.0,-20,1,0,0,0,1,1.0,42.0,2,171.0,1.0,,,,,,,,,,133,45,88,178,1
