detected_at,season,round,team,player,severity,flag_type,reason,source_name,source_url,next_game,opponent,kickoff_local,market_note
2026-05-05T05:53:04.614660+00:00,2026,10,Brisbane Broncos,Adam Reynolds,HIGH,HIA,"Adam Reynolds (head knock, TBC)",NRL Casualty Ward,https://www.nrl.com/news/2026/01/01/nrl-casualty-ward-how-your-club-is-shaping-heading-into-2026/,Manly-Warringah Sea Eagles v Brisbane Broncos,Manly-Warringah Sea Eagles,2026-05-09T19:35:00+10:00,Brisbane Broncos negative hia flag: Adam Reynolds. Watch Manly-Warringah Sea Eagles v Brisbane Broncos odds.
2026-05-05T05:53:04.614660+00:00,2026,10,Brisbane Broncos,Preston Riki,HIGH,SUSPENSION,"Preston Riki (suspended, Round 10)",NRL Casualty Ward,https://www.nrl.com/news/2026/01/01/nrl-casualty-ward-how-your-club-is-shaping-heading-into-2026/,Manly-Warringah Sea Eagles v Brisbane Broncos,Manly-Warringah Sea Eagles,2026-05-09T19:35:00+10:00,Brisbane Broncos negative suspension flag: Preston Riki. Watch Manly-Warringah Sea Eagles v Brisbane Broncos odds.
2026-05-05T05:53:04.614660+00:00,2026,10,Brisbane Broncos,Kotoni Staggs,HIGH,SUSPENSION,"Kotoni Staggs (suspended, Round 12)",NRL Casualty Ward,https://www.nrl.com/news/2026/01/01/nrl-casualty-ward-how-your-club-is-shaping-heading-into-2026/,Manly-Warringah Sea Eagles v Brisbane Broncos,Manly-Warringah Sea Eagles,2026-05-09T19:35:00+10:00,Brisbane Broncos negative suspension flag: Kotoni Staggs. Watch Manly-Warringah Sea Eagles v Brisbane Broncos odds.
2026-05-05T05:53:04.614660+00:00,2026,10,Brisbane Broncos,Ben Hunt,HIGH,WATCH,"Ben Hunt (knee, Round 12-14)",NRL Casualty Ward,https://www.nrl.com/news/2026/01/01/nrl-casualty-ward-how-your-club-is-shaping-heading-into-2026/,Manly-Warringah Sea Eagles v Brisbane Broncos,Manly-Warringah Sea Eagles,2026-05-09T19:35:00+10:00,Brisbane Broncos negative watch flag: Ben Hunt. Watch Manly-Warringah Sea Eagles v Brisbane Broncos odds.
2026-05-05T05:53:04.614660+00:00,2026,10,Brisbane Broncos,Payne Haas,HIGH,WATCH,"Payne Haas (knee, Round 14-15)",NRL Casualty Ward,https://www.nrl.com/news/2026/01/01/nrl-casualty-ward-how-your-club-is-shaping-heading-into-2026/,Manly-Warringah Sea Eagles v Brisbane Broncos,Manly-Warringah Sea Eagles,2026-05-09T19:35:00+10:00,Brisbane Broncos negative watch flag: Payne Haas. Watch Manly-Warringah Sea Eagles v Brisbane Broncos odds.
2026-05-05T05:53:04.614660+00:00,2026,10,Brisbane Broncos,Billy Walters,HIGH,INJURY,"Billy Walters (ACL, TBC)",NRL Casualty Ward,https://www.nrl.com/news/2026/01/01/nrl-casualty-ward-how-your-club-is-shaping-heading-into-2026/,Manly-Warringah Sea Eagles v Brisbane Broncos,Manly-Warringah Sea Eagles,2026-05-09T19:35:00+10:00,Brisbane Broncos negative injury flag: Billy Walters. Watch Manly-Warringah Sea Eagles v Brisbane Broncos odds.
2026-05-05T05:53:04.614660+00:00,2026,10,Canberra Raiders,Hudson Young,HIGH,SUSPENSION,"Hudson Young (suspended, Round 10)",NRL Casualty Ward,https://www.nrl.com/news/2026/01/01/nrl-casualty-ward-how-your-club-is-shaping-heading-into-2026/,Canberra Raiders v Penrith Panthers,Penrith Panthers,2026-05-10T16:05:00+10:00,Canberra Raiders negative suspension flag: Hudson Young. Watch Canberra Raiders v Penrith Panthers odds.
2026-05-05T05:53:04.614660+00:00,2026,10,Canterbury-Bankstown Bulldogs,Harry Hayes,HIGH,SUSPENSION,"Harry Hayes (suspended, Round 10)",NRL Casualty Ward,https://www.nrl.com/news/2026/01/01/nrl-casualty-ward-how-your-club-is-shaping-heading-into-2026/,Dolphins v Canterbury-Bankstown Bulldogs,Dolphins,2026-05-07T19:50:00+10:00,Canterbury-Bankstown Bulldogs negative suspension flag: Harry Hayes. Watch Dolphins v Canterbury-Bankstown Bulldogs odds.
2026-05-05T05:53:04.614660+00:00,2026,10,Cronulla-Sutherland Sharks,Ronaldo Mulitalo,HIGH,INJURY,"Ronaldo Mulitalo (ACL, TBC)",NRL Casualty Ward,https://www.nrl.com/news/2026/01/01/nrl-casualty-ward-how-your-club-is-shaping-heading-into-2026/,South Sydney Rabbitohs v Cronulla-Sutherland Sharks,South Sydney Rabbitohs,2026-05-09T17:30:00+10:00,Cronulla-Sutherland Sharks negative injury flag: Ronaldo Mulitalo. Watch South Sydney Rabbitohs v Cronulla-Sutherland Sharks odds.
2026-05-05T05:53:04.614660+00:00,2026,10,Dolphins,Kodi Nikorima,HIGH,SUSPENSION,"Kodi Nikorima (suspended, Round 10)",NRL Casualty Ward,https://www.nrl.com/news/2026/01/01/nrl-casualty-ward-how-your-club-is-shaping-heading-into-2026/,Dolphins v Canterbury-Bankstown Bulldogs,Canterbury-Bankstown Bulldogs,2026-05-07T19:50:00+10:00,Dolphins negative suspension flag: Kodi Nikorima. Watch Dolphins v Canterbury-Bankstown Bulldogs odds.
