season,round,team,flag_type,flag_strength,player_name,notes,source_url
2026,8,South Sydney Rabbitohs,milestone,normal,Cody Walker,200th NRL game,
2026,8,Penrith Panthers,shame_blowout,major,,Lost to Storm by 38 points last week,
2026,8,Brisbane Broncos,new_coach,normal,,First game under Michael Maguire,
2026,8,Melbourne Storm,star_return,normal,Cam Munster,Back from 6-week absence (knee),
2026,8,Sydney Roosters,rivalry_derby,minor,,ANZAC day derby vs Eels,
2026,8,Parramatta Eels,rivalry_derby,minor,,ANZAC day derby vs Roosters,
2026,8,Newcastle Knights,personal_tragedy,major,,Team rallying after passing of club legend,
2026,8,Gold Coast Titans,must_win,normal,,Win or drop out of top 8,
2026,8,Manly-Warringah Sea Eagles,origin_boost,minor,,DCE and Schuster returning from Origin camp,
2026,8,North Queensland Cowboys,farewell,normal,Jason Taumalolo,Final season farewell game,
